time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,16,6,0,0
2026-05-25 00:00:00+00:00,34,13,0,0
2026-05-26 00:00:00+00:00,60,28,0,0
2026-05-27 00:00:00+00:00,52,24,0,0
2026-05-28 00:00:00+00:00,26,13,0,0
2026-05-29 00:00:00+00:00,18,8,0,0
2026-05-30 00:00:00+00:00,14,7,1,1
2026-05-31 00:00:00+00:00,8,3,0,0
2026-06-01 00:00:00+00:00,28,13,0,0
2026-06-02 00:00:00+00:00,14,5,0,0
2026-06-03 00:00:00+00:00,19,9,0,0
2026-06-04 00:00:00+00:00,26,8,0,0
2026-06-05 00:00:00+00:00,24,10,0,0
2026-06-06 00:00:00+00:00,24,9,0,0
