time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-19 00:00:00+00:00,30,9,3,3
2026-05-20 00:00:00+00:00,9,4,0,0
2026-05-21 00:00:00+00:00,10,5,0,0
2026-05-22 00:00:00+00:00,5,4,0,0
2026-05-23 00:00:00+00:00,21,8,0,0
2026-05-24 00:00:00+00:00,16,6,0,0
2026-05-25 00:00:00+00:00,34,13,0,0
2026-05-26 00:00:00+00:00,60,28,0,0
2026-05-27 00:00:00+00:00,52,24,0,0
2026-05-28 00:00:00+00:00,26,13,0,0
2026-05-29 00:00:00+00:00,18,8,0,0
2026-05-30 00:00:00+00:00,14,7,1,1
2026-05-31 00:00:00+00:00,8,3,0,0
2026-06-01 00:00:00+00:00,28,13,0,0
