url_path,views_total,views_unique
/grp-bork/nevermore_profiler/tree/github-repo-stats/grp-bork/nevermore_profiler,14,2
/grp-bork/nevermore_profiler,11,2
/grp-bork/nevermore_profiler/tree/github-repo-stats/grp-bork/nevermore_profiler/ghrs-data,9,1
/grp-bork/nevermore_profiler/tree/d97179c24a6f4ce6567f333290a6ce6017a0bf9b/grp-bork/nevermore_profiler/latest-report,8,2
/grp-bork/nevermore_profiler/tree/d97179c24a6f4ce6567f333290a6ce6017a0bf9b/grp-bork/nevermore_profiler,8,1
/grp-bork/nevermore_profiler/blob/d97179c24a6f4ce6567f333290a6ce6017a0bf9b/grp-bork/nevermore_profiler/latest-report/report.md,6,2
/grp-bork/nevermore_profiler/blob/github-repo-stats/grp-bork/nevermore_profiler/ghrs-data/views_clones_aggregate.csv,6,1
/grp-bork/nevermore_profiler/tree/github-repo-stats/grp-bork/nevermore_profiler/latest-report,5,1
/grp-bork/nevermore_profiler/blob/main/.github/workflows/github-repo-stats.yml,4,1
/grp-bork/nevermore_profiler/blob/main/nextflow_schema.json,4,1
