time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,5,3,0,0
2026-03-03 00:00:00+00:00,10,4,0,0
2026-03-04 00:00:00+00:00,5,3,0,0
2026-03-05 00:00:00+00:00,6,4,0,0
2026-03-06 00:00:00+00:00,18,8,43,1
2026-03-07 00:00:00+00:00,11,6,2,2
2026-03-08 00:00:00+00:00,14,5,0,0
2026-03-09 00:00:00+00:00,80,33,10,1
2026-03-10 00:00:00+00:00,88,27,7,1
2026-03-11 00:00:00+00:00,48,15,16,1
2026-03-12 00:00:00+00:00,4,3,0,0
2026-03-13 00:00:00+00:00,6,5,0,0
2026-03-14 00:00:00+00:00,22,9,2,1
2026-03-15 00:00:00+00:00,15,6,0,0
