time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,22,7,0,0
2026-05-15 00:00:00+00:00,14,4,0,0
2026-05-16 00:00:00+00:00,12,6,0,0
2026-05-17 00:00:00+00:00,31,10,0,0
2026-05-18 00:00:00+00:00,25,8,2,2
2026-05-19 00:00:00+00:00,30,9,3,3
2026-05-20 00:00:00+00:00,9,4,0,0
2026-05-21 00:00:00+00:00,10,5,0,0
2026-05-22 00:00:00+00:00,5,4,0,0
2026-05-23 00:00:00+00:00,21,8,0,0
2026-05-24 00:00:00+00:00,16,6,0,0
2026-05-25 00:00:00+00:00,34,13,0,0
2026-05-26 00:00:00+00:00,60,28,0,0
2026-05-27 00:00:00+00:00,52,24,0,0
